x,y,z
-1733,361,3898
-1610,400,4423
-1455,300,4232
-1321,137,3391
-1076,237,2520
-935,376,2515
-857,444,3402
-946,369,4253
-942,224,4206
-738,89,3332
-430,70,2325
-159,228,1991
-75,556,3115
-227,1034,4861
-56,1025,5522
587,688,4977
1129,500,4237
1458,592,4045
1632,811,4568
1735,988,5295
1817,1172,5730
2002,1202,5551
2135,1070,5022
2086,882,4710
1928,712,4566
1751,537,4411
1611,385,4391
1485,281,4436
1321,115,4537
1159,-41,4587
1053,-160,4480
954,-123,4395
784,-79,4243
621,-142,3957
432,-171,3734
284,-96,3670
120,13,3656
-68,144,3467
-364,84,3135
-764,-95,2723
-1244,-51,2648
-1749,311,2980
-2241,604,3234
-2629,623,3156
-2868,685,3117
-3431,731,3732
-4039,760,5056
-4269,483,5030
-4483,215,4769
-4741,9,4293
-5034,175,4372
-5319,430,4734
-5475,520,5107
-5606,495,5462
-5584,477,5606
-5412,119,5160
-5249,-156,4630
-5055,-162,4357
-4739,-59,4117
-4319,141,4053
-3910,400,4036
-3508,614,3811
-3177,634,3436
-2893,569,3114
-2548,562,3170
-2348,460,3629
-2155,371,3941
-1897,323,3798
-1607,272,3647
-1311,133,3728
-988,161,4155
-749,221,4295
-551,161,3825
-344,116,3373
-352,-102,3355
-35,-16,3566
253,275,3677
431,376,3307
617,343,2665
467,207,3258
481,187,4219
967,429,4628
1372,833,4822
1336,922,5087
1195,673,4947
1013,342,4568
809,-20,4125
603,-469,3630
675,-731,3263
904,-594,3433
1151,-269,4038
1376,34,4622
1536,253,5098
1669,381,5334
1755,473,5296
1741,422,5090
1558,354,4975
1308,213,4863
1115,90,4841
922,44,4800
827,36,4590
715,-23,4246
589,-57,3898
372,-84,3665
20,-223,3689
-318,-294,3816
-620,-175,3862
-890,30,3839
-1209,67,3707
-1424,125,3421
-1691,490,3370
-2047,845,3482
-2433,862,3397
-2640,916,3366
-2893,1185,3665
-3129,1480,3948
-3375,1527,3862
-3610,1267,3546
-3925,978,3365
-4313,813,3522
-4636,805,3766
-4931,834,4082
-5200,717,4275
-5309,517,4231
-5328,415,4082
-5214,309,3903
-5040,202,3915
-4880,151,4159
-4569,145,4245
-4172,236,4106
-3734,359,3892
-3446,361,3907
-3268,281,4080
-3041,203,4074
-2774,180,4003
-2521,189,4055
-2223,266,4257
-1943,330,4681
-1731,305,5151
-1317,255,5163
-893,314,4977
-571,395,4693
-415,442,4231
-344,388,3588
-432,149,2988
-244,94,2690
-43,282,2969
42,359,3020
97,172,2601
63,-34,2653
-24,-219,3095
214,-275,3381
505,-113,3528
791,50,3686
1097,237,3899
1358,249,4333
1477,579,5006
1516,728,5567
1570,726,5601
1719,703,5469
1760,780,5607
1676,730,5752
1538,440,5536
1380,143,5110
1222,-26,4730
1097,-129,4494
858,-285,4441
612,-460,4554
382,-537,4745
287,-577,4709
274,-576,4520
380,-380,4394
316,-173,4308
304,36,4050
329,247,3738
145,288,3526
-230,170,3426
-569,220,3460
-808,430,3474
-1022,614,3192
-1337,735,2878
-1709,814,2696
-2178,919,2853
-2713,907,3127
-2999,1019,3283
-3132,1315,3502
-3327,1454,3639
-3503,1640,3768
-3694,2025,3963
-3829,2289,4124
-3988,2214,4247
-4241,1977,4465
-4457,1843,4614
-4558,1737,4488
-4567,1577,4228
-4705,1455,4219
-4915,1259,4378
-5084,915,4463
-5096,570,4335
-4901,310,4057
-4632,231,3936
-4339,279,4021
-4083,335,4202
-3782,294,4147
-3432,212,3790
-3101,131,3288
-2631,308,3187
-2210,550,3740
-1960,628,4478
-1743,442,4637
-1519,114,4244
-1147,-111,3608
-901,-348,3226
-606,-323,3474
-240,198,4240
147,726,4505
394,941,4030
