x,y,z,label
-1733,361,3898,2
-1610,400,4423,2
-1455,300,4232,2
-1321,137,3391,2
-1076,237,2520,2
-935,376,2515,2
-857,444,3402,2
-946,369,4253,2
-942,224,4206,2
-738,89,3332,2
-430,70,2325,2
-159,228,1991,2
-75,556,3115,2
-227,1034,4861,2
-56,1025,5522,2
587,688,4977,2
1129,500,4237,2
1458,592,4045,2
1632,811,4568,2
1735,988,5295,2
1817,1172,5730,2
2002,1202,5551,2
2135,1070,5022,2
2086,882,4710,2
1928,712,4566,2
1751,537,4411,2
1611,385,4391,2
1485,281,4436,2
1321,115,4537,2
1159,-41,4587,2
1053,-160,4480,2
954,-123,4395,2
784,-79,4243,2
621,-142,3957,2
432,-171,3734,2
284,-96,3670,2
120,13,3656,2
-68,144,3467,2
-364,84,3135,2
-764,-95,2723,2
-1244,-51,2648,2
-1749,311,2980,2
-2241,604,3234,2
-2629,623,3156,2
-2868,685,3117,2
-3431,731,3732,2
-4039,760,5056,2
-4269,483,5030,2
-4483,215,4769,2
-4741,9,4293,2
-5034,175,4372,2
-5319,430,4734,2
-5475,520,5107,2
-5606,495,5462,2
-5584,477,5606,2
-5412,119,5160,2
-5249,-156,4630,2
-5055,-162,4357,2
-4739,-59,4117,2
-4319,141,4053,2
-3910,400,4036,2
-3508,614,3811,2
-3177,634,3436,2
-2893,569,3114,2
-2548,562,3170,2
-2348,460,3629,2
-2155,371,3941,2
-1897,323,3798,2
-1607,272,3647,2
-1311,133,3728,2
-988,161,4155,2
-749,221,4295,2
-551,161,3825,2
-344,116,3373,2
-352,-102,3355,2
-35,-16,3566,2
253,275,3677,2
431,376,3307,2
617,343,2665,2
467,207,3258,2
481,187,4219,2
967,429,4628,2
1372,833,4822,2
1336,922,5087,2
1195,673,4947,2
1013,342,4568,2
809,-20,4125,2
603,-469,3630,2
675,-731,3263,2
904,-594,3433,2
1151,-269,4038,2
1376,34,4622,2
1536,253,5098,2
1669,381,5334,2
1755,473,5296,2
1741,422,5090,2
1558,354,4975,2
1308,213,4863,2
1115,90,4841,2
922,44,4800,2
827,36,4590,2
715,-23,4246,2
589,-57,3898,2
372,-84,3665,2
20,-223,3689,2
-318,-294,3816,2
-620,-175,3862,2
-890,30,3839,2
-1209,67,3707,2
-1424,125,3421,2
-1691,490,3370,2
-2047,845,3482,2
-2433,862,3397,2
-2640,916,3366,2
-2893,1185,3665,2
-3129,1480,3948,2
-3375,1527,3862,2
-3610,1267,3546,2
-3925,978,3365,2
-4313,813,3522,2
-4636,805,3766,2
-4931,834,4082,2
-5200,717,4275,2
-5309,517,4231,2
-5328,415,4082,2
-5214,309,3903,2
-5040,202,3915,2
-4880,151,4159,2
-4569,145,4245,2
-4172,236,4106,2
-3734,359,3892,2
-3446,361,3907,2
-3268,281,4080,2
-3041,203,4074,2
-2774,180,4003,2
-2521,189,4055,2
-2223,266,4257,2
-1943,330,4681,2
-1731,305,5151,2
-1317,255,5163,2
-893,314,4977,2
-571,395,4693,2
-415,442,4231,2
-344,388,3588,2
-432,149,2988,2
-244,94,2690,2
-43,282,2969,2
42,359,3020,2
97,172,2601,2
63,-34,2653,2
-24,-219,3095,2
214,-275,3381,2
505,-113,3528,2
791,50,3686,2
1097,237,3899,2
1358,249,4333,2
1477,579,5006,2
1516,728,5567,2
1570,726,5601,2
1719,703,5469,2
1760,780,5607,2
1676,730,5752,2
1538,440,5536,2
1380,143,5110,2
1222,-26,4730,2
1097,-129,4494,2
858,-285,4441,2
612,-460,4554,2
382,-537,4745,2
287,-577,4709,2
274,-576,4520,2
380,-380,4394,2
316,-173,4308,2
304,36,4050,2
329,247,3738,2
145,288,3526,2
-230,170,3426,2
-569,220,3460,2
-808,430,3474,2
-1022,614,3192,2
-1337,735,2878,2
-1709,814,2696,2
-2178,919,2853,2
-2713,907,3127,2
-2999,1019,3283,2
-3132,1315,3502,2
-3327,1454,3639,2
-3503,1640,3768,2
-3694,2025,3963,2
-3829,2289,4124,2
-3988,2214,4247,2
-4241,1977,4465,2
-4457,1843,4614,2
-4558,1737,4488,2
-4567,1577,4228,2
-4705,1455,4219,2
-4915,1259,4378,2
-5084,915,4463,2
-5096,570,4335,2
-4901,310,4057,2
-4632,231,3936,2
-4339,279,4021,2
-4083,335,4202,2
-3782,294,4147,2
-3432,212,3790,2
-3101,131,3288,2
-2631,308,3187,2
-2210,550,3740,2
-1960,628,4478,2
-1743,442,4637,2
-1519,114,4244,2
-1147,-111,3608,2
-901,-348,3226,2
-606,-323,3474,2
-240,198,4240,2
147,726,4505,2
394,941,4030,2
510,891,3195,2
497,589,2461,2
790,662,2745,2
933,931,4015,2
929,1275,5357,2
1191,1614,5703,2
1444,1423,5013,2
1457,1048,4462,2
1386,893,4536,2
1389,977,4945,2
1535,965,5031,2
1732,804,4787,2
1915,661,4535,2
1854,458,4656,2
1717,249,4959,2
1584,75,5056,2
1518,-81,4850,2
1476,-248,4675,2
1360,-392,4690,2
1120,-592,4745,2
905,-741,4717,2
830,-681,4698,2
803,-540,4611,2
788,-436,4383,2
819,-207,4212,2
690,-57,4031,2
439,-187,3672,2
168,-226,3352,2
-109,51,3290,2
-405,377,3287,2
-677,736,3155,2
-1108,1115,3079,2
-1614,1354,3175,2
-2122,1482,3283,2
-2361,1658,3041,2
-2617,1959,3084,2
-3136,2071,3375,2
-3619,2010,3623,2
-4062,1910,3839,2
-4425,1901,4031,2
-4676,1999,4148,2
-4806,1841,3982,2
-5098,1540,4277,2
-5433,1188,4942,2
-5594,862,5278,2
-5544,695,5078,2
-5380,620,4730,2
-5261,468,4601,2
-5120,255,4509,2
-4838,158,4321,2
-4393,220,4173,2
-3922,366,4230,2
-3541,488,4337,2
-3221,472,4207,2
-2929,432,3864,2
-2638,416,3514,2
-2237,420,3490,2
-1899,586,3967,2
-1574,772,4473,2
-1339,697,4475,2
-1204,324,3947,2
-1039,74,3494,2
-561,165,3467,2
-118,570,4196,2
89,842,4871,2
187,741,4810,2
207,434,3948,2
203,103,2842,2
-24,-284,2488,2
-165,-508,2724,2
-4,-389,3156,2
340,-69,3185,2
899,231,2711,2
1117,337,2865,2
911,107,3401,2
814,-41,3709,2
826,-176,3500,2
966,-158,3513,2
1049,-17,4020,2
1165,69,4577,2
1224,13,5043,2
1364,73,5598,2
1467,50,6022,2
1549,59,6234,2
1443,-80,6031,2
1281,-279,5629,2
1181,-441,5277,2
1082,-503,5244,2
938,-569,5353,2
744,-744,5250,2
507,-942,4875,2
482,-895,4430,2
546,-588,4128,2
572,-285,3957,2
345,-279,3871,2
21,-323,3761,2
-224,-193,3437,2
-310,115,2820,2
-361,512,2327,2
-537,1005,2204,2
-786,1431,2271,2
-1211,1621,2420,2
-1638,1583,2415,2
-1904,1685,2419,2
-2426,1776,2753,2
-3041,1654,3062,2
-3490,1642,3436,2
-3900,1736,3971,2
-4196,1772,4745,2
-4303,1532,5015,2
-4492,1179,5033,2
-4846,817,5251,2
-4995,564,5231,2
-4930,515,5072,2
-4721,641,4983,2
-4529,777,4969,2
-4374,837,4852,2
-4188,735,4522,2
-3939,662,4185,2
-3681,701,4038,2
-3375,806,4114,2
-3169,885,4415,2
-3004,896,4537,2
-2815,852,4245,2
-2636,800,3874,2
-2422,815,3734,2
-2362,790,3997,2
-2322,685,4129,2
-2222,589,3952,2
-1936,647,3549,2
-1570,817,3322,2
-1172,892,3656,2
-1029,890,4498,2
-903,877,5104,2
-719,630,4835,2
-577,325,4144,2
-403,109,3564,2
-50,176,3722,2
240,521,4389,2
537,715,4558,2
753,591,4076,2
776,275,3466,2
764,-60,3252,2
941,-74,3550,2
1241,104,3916,2
1498,185,4085,2
1629,24,4034,2
1725,-220,4013,2
1771,-394,4124,2
1892,-437,4318,2
2013,-345,4506,2
2063,-288,4587,2
2026,-285,4572,2
1886,-410,4329,2
1706,-586,4044,2
1421,-718,3880,2
1198,-765,3772,2
1109,-645,3841,2
1114,-336,4037,2
1145,-36,4025,2
1125,98,3760,2
1010,135,3407,2
890,237,3279,2
514,250,3420,2
-52,59,3736,2
-652,-225,4057,2
-1087,-333,4243,2
-1316,-285,4075,2
-1558,-190,3739,2
-1765,-86,3510,2
-2107,-33,3523,2
-2395,-34,3624,2
-2536,25,3759,2
-2571,251,3682,2
-2460,480,3211,2
-2528,634,3075,2
-2846,591,3223,2
-3133,648,3490,2
-3280,914,3717,2
-3283,1364,3816,2
-3274,1877,3905,2
-3451,2046,3963,2
-3863,1987,4178,2
-4214,2052,4413,2
-4378,2145,4530,2
-4511,2141,4701,2
-4631,2047,4909,2
-4673,1921,4985,2
-4468,1868,4914,2
-4169,1945,4962,2
-3896,1962,5085,2
-3675,1842,5036,2
-3494,1671,4686,2
-3262,1460,4134,2
-3091,1236,3673,2
-2909,1036,3311,2
-2750,914,3270,2
-2552,878,3603,2
-2279,917,3903,2
-1980,860,4001,2
-1764,620,3868,2
-1365,568,3763,2
-855,781,3822,2
-408,964,4207,2
-260,978,4537,2
-235,774,4291,2
-299,489,3527,2
-385,266,2555,2
-213,69,1689,2
18,133,1907,2
45,235,3071,2
92,461,4459,2
219,362,4718,2
445,106,3913,2
673,-130,2873,2
