x,y,z,label
1046,135,-1250,1
1230,98,-732,1
1294,85,-432,1
1178,109,-436,1
910,146,-602,1
587,185,-662,1
321,202,-520,1
134,250,3,1
-97,345,660,1
-312,126,2017,1
-365,-78,3335,1
-456,-323,4903,1
-498,-756,6148,1
-472,-1063,6945,1
-458,-1392,7445,1
-449,-1611,7778,1
-550,-1439,8075,1
-788,-1202,8315,1
-1067,-965,8475,1
-1256,-988,8483,1
-1072,-895,8445,1
-753,-729,8422,1
-472,-466,8434,1
-56,205,8490,1
211,672,8308,1
678,1364,7614,1
750,1693,6333,1
926,1722,5161,1
1050,1701,3942,1
1059,1598,2473,1
887,1396,849,1
592,1238,-583,1
269,1183,-1800,1
-13,1171,-2590,1
-203,1081,-2963,1
-297,897,-3033,1
-310,638,-3027,1
-300,383,-3062,1
-233,228,-3068,1
-163,101,-3020,1
-61,-25,-2960,1
79,-116,-2793,1
264,-191,-2480,1
414,-80,-1975,1
467,247,-1372,1
422,597,-768,1
337,762,-213,1
228,742,298,1
98,664,836,1
-31,685,1332,1
-178,350,2844,1
-180,233,4460,1
-268,264,5983,1
-296,129,6993,1
-56,-426,7537,1
295,-1543,7670,1
726,-2806,7581,1
1011,-3562,7517,1
982,-3662,7587,1
520,-3382,7745,1
-99,-2804,7938,1
-672,-1979,8130,1
-983,-1049,8299,1
-984,-224,8425,1
-680,346,8483,1
-205,927,8189,1
247,775,7981,1
639,991,7207,1
727,1254,6170,1
790,1508,5073,1
739,1760,3777,1
605,1869,2287,1
392,1806,903,1
147,1620,-183,1
-72,1417,-1053,1
-250,1196,-1743,1
-355,955,-2262,1
-392,674,-2540,1
-385,513,-2583,1
-299,475,-2414,1
-163,484,-2191,1
0,405,-2111,1
193,241,-2111,1
414,4,-2023,1
644,-267,-1787,1
821,-419,-1457,1
867,-381,-1114,1
790,-254,-777,1
660,-23,-331,1
462,248,269,1
212,343,1001,1
0,293,1603,1
-190,-93,2955,1
-295,-248,4050,1
-505,-341,5548,1
-684,-435,6677,1
-701,-632,7382,1
-607,-1094,7752,1
-351,-1771,7884,1
20,-2304,7911,1
174,-2643,7923,1
108,-2649,7990,1
-190,-2444,8074,1
-424,-1954,8171,1
-551,-1289,8259,1
-529,-692,8315,1
-285,-138,8358,1
100,527,8338,1
393,400,8166,1
842,850,7393,1
826,1315,6435,1
805,1645,5396,1
749,1893,4363,1
678,2047,3182,1
537,2023,1878,1
336,1969,675,1
73,1931,-266,1
-168,1887,-961,1
-366,1725,-1581,1
-481,1380,-2158,1
-469,919,-2584,1
-340,429,-2718,1
-139,30,-2583,1
63,-159,-2417,1
205,-185,-2406,1
324,-111,-2457,1
445,-31,-2307,1
570,36,-1934,1
632,59,-1494,1
655,41,-1097,1
637,-64,-605,1
609,-149,-118,1
510,-125,319,1
314,-79,729,1
90,-275,1135,1
-77,-819,2509,1
-141,-1076,3647,1
-307,-1209,5180,1
-381,-1187,6376,1
-403,-1154,7170,1
-318,-1374,7643,1
-138,-1429,7978,1
-144,-1133,8291,1
-397,-701,8595,1
-785,-453,8765,1
-1066,-577,8716,1
-1092,-722,8587,1
-991,-748,8496,1
-776,-587,8462,1
-410,-176,8475,1
-116,316,8289,1
390,751,8257,1
654,1256,7513,1
896,1681,6631,1
1068,1889,5675,1
1250,2020,4631,1
1364,2051,3272,1
1288,1863,1636,1
1005,1551,-107,1
616,1066,-1733,1
236,577,-2869,1
1,254,-3505,1
-46,8,-3582,1
38,-150,-3218,1
129,-187,-2842,1
157,-156,-2677,1
160,-94,-2667,1
199,-76,-2680,1
300,-147,-2558,1
397,-186,-2293,1
444,-186,-1955,1
471,-260,-1612,1
465,-376,-1344,1
423,-423,-1219,1
310,-242,-1045,1
131,45,-700,1
-61,273,-184,1
-250,198,1683,1
-349,303,3979,1
-594,481,5702,1
-863,506,6801,1
-895,193,7439,1
-707,-545,7741,1
-303,-1440,7835,1
98,-2374,7808,1
344,-2821,7816,1
157,-2896,7881,1
-301,-2615,8001,1
-758,-1644,8218,1
-1173,-364,8425,1
-1347,821,8580,1
-1118,1664,8670,1
-690,2134,8682,1
-33,2138,8359,1
571,2202,7187,1
960,2268,5564,1
1142,2097,4171,1
1252,1906,3044,1
1232,1827,1905,1
1091,1715,636,1
764,1511,-687,1
363,1205,-1932,1
-5,728,-2918,1
-276,198,-3540,1
-442,-217,-3782,1
-503,-529,-3711,1
-508,-768,-3535,1
-480,-937,-3282,1
-380,-1051,-3097,1
-253,-1079,-3006,1
-117,-995,-2859,1
-2,-710,-2501,1
47,-362,-1998,1
69,-70,-1463,1
54,193,-1082,1
27,412,-785,1
11,576,-227,1
-96,588,814,1
-278,656,2004,1
-372,713,3744,1
-403,729,5411,1
-368,719,6684,1
-275,219,7400,1
-44,-570,7731,1
214,-1480,7834,1
463,-2112,7867,1
460,-2338,7931,1
192,-2287,8026,1
-252,-2212,8080,1
-582,-1948,8130,1
-744,-1410,8215,1
-754,-740,8312,1
-490,-19,8402,1
-159,737,8130,1
405,872,8039,1
806,1113,6972,1
1060,1398,5792,1
1246,1573,4647,1
1366,1681,3552,1
1406,1718,2409,1
1314,1645,1143,1
1033,1479,-249,1
626,1241,-1544,1
264,951,-2584,1
-14,671,-3188,1
-156,362,-3471,1
-151,125,-3349,1
-77,9,-2978,1
-9,-66,-2615,1
28,-75,-2458,1
91,-61,-2337,1
192,3,-2153,1
325,101,-1898,1
417,219,-1529,1
489,376,-1051,1
457,541,-449,1
297,620,118,1
86,624,667,1
-157,552,1056,1
-392,369,2215,1
-561,200,3416,1
-644,-66,4753,1
-752,-369,6049,1
-625,-663,6878,1
-445,-1001,7382,1
-316,-1417,7664,1
-207,-1749,7820,1
-103,-1944,7923,1
-84,-1907,8019,1
-227,-2041,8045,1
-344,-2202,8031,1
-383,-2029,8063,1
-391,-1591,8136,1
-310,-980,8226,1
-85,-359,8292,1
101,299,7762,1
408,655,7631,1
545,914,6681,1
667,1361,5744,1
733,1665,4752,1
765,1926,3899,1
707,2224,2879,1
483,2433,1643,1
196,2333,354,1
-51,1973,-764,1
-218,1480,-1621,1
-298,1054,-2186,1
-333,709,-2528,1
-309,396,-2765,1
-240,45,-2942,1
-108,-234,-3020,1
10,-382,-3048,1
120,-329,-2970,1
213,-83,-2683,1
310,298,-2071,1
404,673,-1250,1
464,934,-456,1
465,1007,160,1
400,939,646,1
234,843,1141,1
-75,777,1436,1
-338,437,2320,1
-394,323,3369,1
-468,27,5044,1
-586,-110,6351,1
-699,-252,7170,1
-639,-554,7636,1
-427,-1254,7815,1
18,-2193,7801,1
401,-3065,7729,1
598,-3733,7667,1
505,-3741,7724,1
219,-3377,7835,1
29,-2672,7975,1
-95,-1836,8105,1
-138,-1054,8202,1
-47,-66,8290,1
-113,542,8092,1
205,1279,7651,1
249,1753,6834,1
371,2098,5999,1
469,2341,5043,1
509,2488,3801,1
412,2489,2410,1
213,2326,1015,1
-31,2071,-253,1
-250,1805,-1365,1
-411,1489,-2231,1
-513,1158,-2854,1
-551,838,-3167,1
-491,527,-3236,1
-353,325,-3104,1
-212,205,-2987,1
-109,134,-2933,1
-5,110,-2825,1
166,109,-2497,1
357,102,-1819,1
475,164,-1078,1
467,381,-393,1
320,680,182,1
77,977,804,1
-291,1248,1365,1
-680,1144,2814,1
-890,994,4240,1
-1003,549,5416,1
-679,240,6510,1
-110,-602,7115,1
565,-1988,7338,1
1107,-3371,7344,1
1427,-4176,7337,1
1334,-3965,7490,1
763,-3058,7765,1
-52,-2095,8004,1
-840,-1297,8134,1
-1326,-768,8184,1
-1402,-299,8235,1
-1185,126,8290,1
-835,654,8155,1
-596,667,7615,1
-176,1014,6953,1
-116,1349,6487,1
62,1616,5964,1
251,1921,5286,1
418,2170,4460,1
513,2294,3397,1
492,2243,1987,1
342,1962,491,1
154,1474,-853,1
-19,996,-1845,1
-134,546,-2423,1
-153,185,-2599,1
-149,-65,-2502,1
-115,-194,-2432,1
-58,-198,-2401,1
-14,-196,-2384,1
53,-199,-2323,1
125,-194,-2118,1
194,-109,-1818,1
226,-35,-1377,1
232,-5,-944,1
184,6,-605,1
135,116,-395,1
65,282,-29,1
-57,392,500,1
-204,391,1233,1
-219,310,2760,1
-247,242,4361,1
-315,-46,5809,1
-174,-21,6750,1
-146,-40,7353,1
-136,-402,7717,1
33,-775,7921,1
193,-1117,8019,1
163,-1430,8077,1
-39,-1418,8154,1
-385,-1257,8219,1
-630,-1247,8218,1
-713,-1013,8216,1
-766,-625,8234,1
-795,71,8287,1
-739,658,8319,1
-501,1387,8283,1
-223,2032,7564,1
40,2377,6379,1
240,2378,5199,1
455,2254,4045,1
569,2113,2935,1
582,1982,1820,1
518,1830,730,1
347,1486,-407,1
108,1028,-1411,1
-113,562,-2173,1
-270,87,-2715,1
-334,-450,-3024,1
-320,-901,-3017,1
-241,-1205,-2838,1
-135,-1326,-2648,1
-19,-1330,-2584,1
150,-1256,-2532,1
343,-1066,-2269,1
490,-783,-1828,1
566,-387,-1206,1
551,75,-457,1
439,441,341,1
305,679,1041,1
158,790,1676,1
6,685,2103,1
-103,310,3207,1
-1,116,4366,1
-72,-267,5798,1
-190,-560,6782,1
-256,-896,7376,1
-205,-1258,7703,1
-163,-1617,7865,1
-139,-2003,7927,1
-89,-2187,7969,1
-174,-2156,8028,1
-364,-2123,8063,1
-489,-1862,8115,1
-600,-1318,8196,1
-687,-557,8287,1
-760,394,8372,1
-510,1140,8399,1
-292,1623,8000,1
53,1991,7366,1
311,2242,6335,1
539,2390,5360,1
702,2441,4213,1
764,2372,2846,1
671,2083,1380,1
474,1660,-45,1
265,1149,-1205,1
75,755,-2027,1
-89,548,-2425,1
-187,402,-2477,1
-227,233,-2417,1
-207,29,-2350,1
-141,-138,-2275,1
-90,-190,-2175,1
-12,-221,-2120,1
112,-259,-1914,1
253,-291,-1482,1
323,-289,-1018,1
304,-189,-642,1
210,-81,-339,1
96,-117,-180,1
50,-252,-119,1
24,-324,279,1
-92,-240,1100,1
-203,-251,2863,1
-330,-309,4333,1
-340,-466,5806,1
-385,-500,6776,1
-406,-839,7360,1
-291,-1158,7722,1
-129,-1427,7935,1
-13,-1624,8063,1
-36,-1604,8178,1
-236,-1482,8278,1
-565,-1313,8343,1
-843,-1218,8343,1
-877,-904,8373,1
-790,-486,8428,1
-574,22,8497,1
-379,497,8170,1
23,735,7759,1
355,959,6976,1
561,1190,6137,1
616,1447,5300,1
672,1616,4461,1
734,1705,3456,1
736,1614,2184,1
664,1359,937,1
457,1006,84,1
254,594,-532,1
90,247,-1064,1
-41,3,-1489,1
-144,-118,-1889,1
-226,-133,-2177,1
-234,-140,-2314,1
-143,-150,-2222,1
-13,-172,-2082,1
80,-232,-2006,1
160,-276,-1947,1
243,-309,-1775,1
346,-343,-1425,1
442,-372,-947,1
494,-331,-496,1
470,-260,-129,1
364,-255,161,1
219,-420,363,1
86,-615,1474,1
-4,-665,2407,1
-192,-791,3563,1
-243,-714,5259,1
-339,-497,6492,1
-449,-340,7324,1
-504,-171,7895,1
-505,112,8291,1
-540,466,8592,1
-665,317,8725,1
