x,y,z
0,4,4159
0,2,4156
-4,2,4155
-2,2,4164
-8,1,4168
-6,1,4166
-2,0,4170
2,0,4168
-1,-1,4171
-2,0,4169
-2,-4,4170
-2,-4,4172
0,-3,4170
-3,-8,4168
-2,-5,4163
0,-5,4165
1,-6,4166
6,-2,4173
7,-4,4178
2,0,4176
1,5,4180
-2,9,4172
-2,6,4167
0,-2,4167
-2,2,4174
-5,0,4179
0,3,4176
-1,4,4170
4,1,4175
6,1,4175
5,0,4179
0,0,4181
4,1,4183
2,1,4178
-3,3,4171
-3,2,4168
-5,-1,4167
-6,1,4169
-8,-4,4176
-6,-9,4175
-5,-7,4173
-8,0,4169
-3,5,4171
1,6,4175
-1,6,4176
-3,8,4172
0,10,4169
0,11,4169
-2,4,4171
0,-4,4173
6,-1,4174
4,-4,4161
0,-4,4170
-1,-2,4176
0,-4,4170
1,-1,4167
1,1,4170
-1,0,4165
-3,0,4171
-4,-4,4171
0,-2,4171
0,-1,4163
0,-6,4168
-3,-4,4170
-2,0,4171
-2,1,4173
0,0,4163
0,0,4169
-4,-2,4169
0,1,4174
-2,2,4169
1,0,4164
1,-4,4162
-1,-1,4171
0,2,4176
3,2,4171
5,1,4169
1,-2,4165
-2,0,4166
-6,-2,4170
-3,0,4172
-1,-1,4168
-4,-2,4161
-2,0,4164
-4,1,4169
-5,-2,4166
-6,0,4167
3,-5,4174
1,-5,4166
0,0,4170
7,-2,4172
6,-4,4168
6,-6,4166
-2,-5,4169
-2,-4,4175
-2,-4,4167
-3,3,4170
-5,2,4173
-3,1,4167
-2,1,4161
-2,1,4166
0,-5,4167
0,0,4165
-3,1,4164
-2,-2,4174
-6,0,4177
-4,-1,4174
-5,-1,4173
-10,-5,4173
-10,-2,4170
-4,4,4169
-1,6,4169
0,4,4167
1,11,4173
2,10,4170
4,8,4165
-1,6,4174
0,2,4165
-4,2,4171
-5,2,4161
-2,0,4160
-5,-1,4157
-4,-2,4160
-3,0,4173
-6,-1,4170
-5,6,4176
-2,2,4175
2,1,4173
-1,0,4173
1,-2,4173
2,-1,4171
0,0,4172
-2,-1,4175
0,2,4173
-3,2,4178
-5,-1,4184
-1,0,4179
3,-5,4174
-1,0,4167
5,-2,4169
2,-2,4172
0,-3,4179
-6,-4,4185
-8,1,4181
-6,3,4176
-4,6,4170
-4,0,4174
-7,-3,4173
-2,-2,4175
-4,-6,4177
0,0,4181
-2,1,4182
-1,0,4174
0,0,4180
3,1,4178
3,-4,4173
0,-3,4175
-3,-1,4177
0,1,4175
0,0,4177
-3,4,4176
-1,5,4177
0,0,4171
0,-2,4168
4,-1,4174
-3,-2,4171
-3,-2,4165
3,1,4167
-2,5,4169
0,9,4173
0,9,4175
1,8,4175
-1,1,4170
7,1,4166
3,0,4164
1,0,4163
1,-5,4163
3,-4,4165
-2,0,4170
-6,2,4173
-4,2,4170
3,4,4166
5,1,4170
5,-5,4178
4,0,4180
3,0,4180
6,-3,4174
5,0,4173
7,-2,4180
6,-5,4175
5,-1,4173
0,-1,4166
-2,1,4172
-4,6,4174
-6,4,4180
-1,9,4179
3,0,4172
3,-5,4161
-2,-1,4158
-1,-8,4160
2,-8,4155
8,-10,4155
8,-7,4158
2,-5,4169
2,-2,4169
1,-1,4176
5,-1,4171
3,0,4171
2,-2,4171
2,-2,4170
-1,0,4179
2,8,4176
-2,7,4171
-1,5,4164
-5,3,4172
-5,1,4170
0,0,4170
0,5,4173
2,0,4160
-3,-1,4163
0,2,4164
0,2,4165
-3,8,4170
0,6,4170
4,10,4171
4,8,4169
0,4,4178
2,8,4174
-1,2,4175
-5,5,4176
0,-1,4178
3,-8,4180
3,-6,4183
7,-4,4172
0,-1,4174
-2,4,4175
-3,4,4179
1,0,4178
3,0,4175
0,-2,4181
0,-2,4180
1,-5,4182
-5,0,4182
-10,-2,4177
-6,1,4179
-5,2,4169
-6,2,4164
-5,0,4174
-6,5,4168
0,0,4168
0,5,4161
1,4,4166
0,0,4170
0,-1,4173
0,1,4176
1,0,4179
1,0,4180
2,-1,4181
1,1,4175
1,3,4181
-5,4,4173
-2,6,4172
2,5,4171
4,3,4169
5,0,4169
6,0,4170
6,-2,4169
5,0,4173
4,-2,4171
0,-6,4180
1,-3,4173
0,-2,4182
0,1,4170
3,6,4174
4,9,4176
4,9,4165
5,9,4168
4,6,4167
1,5,4173
4,-2,4171
1,-2,4170
1,-3,4179
-3,-1,4175
-1,-2,4173
0,-1,4168
0,2,4169
-5,-2,4171
-7,0,4169
-5,1,4172
-10,2,4180
