x,y,z
1046,135,-1250
1230,98,-732
1294,85,-432
1178,109,-436
910,146,-602
587,185,-662
321,202,-520
134,250,3
-97,345,660
-312,126,2017
-365,-78,3335
-456,-323,4903
-498,-756,6148
-472,-1063,6945
-458,-1392,7445
-449,-1611,7778
-550,-1439,8075
-788,-1202,8315
-1067,-965,8475
-1256,-988,8483
-1072,-895,8445
-753,-729,8422
-472,-466,8434
-56,205,8490
211,672,8308
678,1364,7614
750,1693,6333
926,1722,5161
1050,1701,3942
1059,1598,2473
887,1396,849
592,1238,-583
269,1183,-1800
-13,1171,-2590
-203,1081,-2963
-297,897,-3033
-310,638,-3027
-300,383,-3062
-233,228,-3068
-163,101,-3020
-61,-25,-2960
79,-116,-2793
264,-191,-2480
414,-80,-1975
467,247,-1372
422,597,-768
337,762,-213
228,742,298
98,664,836
-31,685,1332
-178,350,2844
-180,233,4460
-268,264,5983
-296,129,6993
-56,-426,7537
295,-1543,7670
726,-2806,7581
1011,-3562,7517
982,-3662,7587
520,-3382,7745
-99,-2804,7938
-672,-1979,8130
-983,-1049,8299
-984,-224,8425
-680,346,8483
-205,927,8189
247,775,7981
639,991,7207
727,1254,6170
790,1508,5073
739,1760,3777
605,1869,2287
392,1806,903
147,1620,-183
-72,1417,-1053
-250,1196,-1743
-355,955,-2262
-392,674,-2540
-385,513,-2583
-299,475,-2414
-163,484,-2191
0,405,-2111
193,241,-2111
414,4,-2023
644,-267,-1787
821,-419,-1457
867,-381,-1114
790,-254,-777
660,-23,-331
462,248,269
212,343,1001
0,293,1603
-190,-93,2955
-295,-248,4050
-505,-341,5548
-684,-435,6677
-701,-632,7382
-607,-1094,7752
-351,-1771,7884
20,-2304,7911
174,-2643,7923
108,-2649,7990
-190,-2444,8074
-424,-1954,8171
-551,-1289,8259
-529,-692,8315
-285,-138,8358
100,527,8338
393,400,8166
842,850,7393
826,1315,6435
805,1645,5396
749,1893,4363
678,2047,3182
537,2023,1878
336,1969,675
73,1931,-266
-168,1887,-961
-366,1725,-1581
-481,1380,-2158
-469,919,-2584
-340,429,-2718
-139,30,-2583
63,-159,-2417
205,-185,-2406
324,-111,-2457
445,-31,-2307
570,36,-1934
632,59,-1494
655,41,-1097
637,-64,-605
609,-149,-118
510,-125,319
314,-79,729
90,-275,1135
-77,-819,2509
-141,-1076,3647
-307,-1209,5180
-381,-1187,6376
-403,-1154,7170
-318,-1374,7643
-138,-1429,7978
